"Product ID",Thumbnail,Name,SKU,Barcode,"Vendor SKU",Weight,"Weight Unit",Length,Width,Height,"Dimension Unit",Volume,"Volume Unit",Backordered,Expected,Processed,Put-Away,Available,Allocated,Reserved,Picked,"On Hand",Advertised,"Goods Type",Regulation,"Lot Type","Serial Number Type",Status,Availability,Visibility,"Created At","Updated At","Description of Goods for Export","Base Image","Requires Packaging","Storage Height","Merchant Name","Require Weight Check","Technical Name","HTS Base Code","Storage Length","Storage Width","HTS Country Code","Additional Regulatory Information","Is Box","Net Hazmat Weight","Customs Value","Valid Containers","Country of Manufacture","Other Special Features","Container Type","Container Meets HazMat Specs","Regulation Units","Bulk Quantity","Unit Quantity","Max Per Package","Ship Separate","External ID","Additional Handling Surcharge","Ship Separate Tag","Requires Infill","Special Supplies","Can Contain Other Items","Can Tip","Allowed Container Styles","Freight Class","Disallowed Containers","Freight Category",Details,Test,"Product Category","Customs Value Currency","Net Hazmat Weight Unit"
99126,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/9949300896609d73a70beaf589c89853ca33f384.jpg","Add-on Drawer",DRAWER,108634424138,,8.74,lb,26.8,15.4,5.4,in,2228.688,in^3,0,273,1,0,409,1,2,1,414,409,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2022-10-27 19:08:07","2025-04-02 11:40:46","Place holder ",9949300896609d73a70beaf589c89853ca33f384.jpg,No,,"Keelan Scott",No,,9401.99,,,,,0,,1,,China,,,No,,,,,0,,No,,None,,No,Yes,,,,,,Box1,"Accessories & Merch",USD,
99096,,"Desk SSB 46X24 Drawer",D-SSB-46X24-DRAWER,R0207202525308,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,409,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2022-10-27 18:14:52","2025-02-07 10:35:14",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
99072,,"Coffee U 46X24",CF-U-46X24,R0131202525223,,1,lb,43.5,43,3,in,5611.5,in^3,0,0,0,0,0,0,0,0,0,377,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2022-10-27 18:14:51","2025-01-31 12:58:17",,no_selection,No,,"Keelan Scott",No,,,,,,,0,,,," ",,,No,,,,,0,,No,,None,,No,Yes,,,,,,,,,
146977,,"Bench U 46X14",B-U-46X14,,,12.4,lb,17.5,12.75,6.5,in,1450.3125,in^3,0,0,0,0,0,0,0,0,0,0,"Not Regulated",,,,Enabled,Available,Visible,"2024-07-30 19:33:02","2024-12-20 11:02:54",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,0,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
143274,,"Bench DN 46X14",B-DN-46X14,,,0,lb,,,,,,,0,0,0,0,0,0,0,0,0,0,"Not Regulated",,,,Enabled,Available,Visible,"2024-05-17 22:57:50","2024-12-17 13:45:03",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,0,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,Yes,Yes,,,,,,Box1,"Accessories & Merch",,
139484,,"Dining U 72X36 Bench",DN-U-72X36-B-DN-58X14,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,19,"Not Regulated",,,,Enabled,Available,Visible,"2024-02-16 00:58:02","2024-11-11 16:10:41",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,0,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,,,
143275,,"Dining U 72X36 2Bench",DN-U-72X36-2B-DN-58X14,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,11,"Not Regulated",,,,Enabled,Available,Visible,"2024-05-17 23:00:03","2024-11-11 16:10:17",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,0,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
142796,,"Dining U 60X36 Bench",DN-U-60X36-B-DN-46X14,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,28,"Not Regulated",,,,Enabled,Available,Visible,"2024-05-02 18:49:06","2024-11-11 16:08:53",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,0,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
146978,,"Bench U 58X14",B-U-58X14,,,0,lb,,,,,,,0,0,0,0,0,0,0,0,0,0,"Not Regulated",,,,Enabled,Available,Visible,"2024-07-30 19:33:17","2024-11-11 16:07:29",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,0,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
152144,,"Desk U 36X22 Keyboard Tray",D-U-36X22-KEYBOARD-TRAY,,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,206,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2024-09-13 15:36:47","2024-09-13 15:37:00",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
